Region,Sector,Technology,Type,PathwayScenario,Year,Value
Thies,Power,P_Gas_CCGT,PeakCapacity,BAU_BAU,2030,0.0010473573782456172
MTKK,Power,RES_Hydro_Small,PeakCapacity,BAU_BAU,2030,0.0018518518518518524
Dakar,Power,P_Oil,PeakCapacity,BAU_BAU,2030,0.004442982456140349
Thies,Power,P_Oil,PeakCapacity,BAU_BAU,2030,0.0008771929824561402
ZS,Power,P_Oil,PeakCapacity,BAU_BAU,2030,0.00010526315789473686
MTKK,Power,P_Oil,PeakCapacity,BAU_BAU,2030,0.00014639793159632814
Dakar,Power,P_Coal_Hardcoal,PeakCapacity,BAU_BAU,2030,0.0002182034375746503
Thies,Power,P_Coal_Hardcoal,PeakCapacity,BAU_BAU,2030,5.358313082368567e-5
MTKK,Power,RES_Hydro_Large,PeakCapacity,BAU_BAU,2030,0.003994098658521735
Dakar,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2030,0.0008333350904117792
Diourbel,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2030,0.0003384083868403379
Thies,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2030,0.0025423089470511134
LS,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2030,0.0004854242882247576
FKK,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2030,0.0008379858989177337
Thies,Power,RES_Wind_Onshore_Opt,PeakCapacity,BAU_BAU,2030,0.0022083652208508054
Dakar,Power,P_Gas_OCGT,PeakCapacity,BAU_BAU,2030,0.00209471475649124
Dakar,Power,P_Gas_CCGT,PeakCapacity,BAU_BAU,2035,0.004887667765146239
Thies,Power,P_Gas_CCGT,PeakCapacity,BAU_BAU,2035,0.0003911154047863736
MTKK,Power,RES_Hydro_Small,PeakCapacity,BAU_BAU,2035,0.0018518518518518524
MTKK,Power,RES_PV_Utility_Inf,PeakCapacity,BAU_BAU,2035,0.000201025116414495
Dakar,Power,P_Oil,PeakCapacity,BAU_BAU,2035,0.004442982456140349
Thies,Power,P_Oil,PeakCapacity,BAU_BAU,2035,0.00029279586319265477
ZS,Power,P_Oil,PeakCapacity,BAU_BAU,2035,7.913201160559308e-7
MTKK,Power,P_Oil,PeakCapacity,BAU_BAU,2035,1.6867135153588648e-5
Dakar,Power,P_Coal_Hardcoal,PeakCapacity,BAU_BAU,2035,0.00021820343757465027
Thies,Power,P_Coal_Hardcoal,PeakCapacity,BAU_BAU,2035,5.358313082368567e-5
MTKK,Power,RES_Hydro_Large,PeakCapacity,BAU_BAU,2035,0.003994098658521735
Dakar,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2035,0.007235138649382798
Diourbel,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2035,0.00040920038815885616
Thies,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2035,0.0037928409504435615
LS,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2035,0.002170423190408063
FKK,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2035,0.0010132850379697231
Thies,Power,RES_Wind_Onshore_Opt,PeakCapacity,BAU_BAU,2035,0.002208365220850805
Dakar,Power,P_Gas_OCGT,PeakCapacity,BAU_BAU,2035,0.0034911912608187458
Dakar,Power,P_Gas_CCGT,PeakCapacity,BAU_BAU,2040,0.005585906017309991
Thies,Power,P_Gas_CCGT,PeakCapacity,BAU_BAU,2040,0.0010473573782456172
MTKK,Power,RES_Hydro_Small,PeakCapacity,BAU_BAU,2040,0.0018518518518518524
MTKK,Power,RES_PV_Utility_Inf,PeakCapacity,BAU_BAU,2040,0.002011028699245216
Dakar,Power,P_Oil,PeakCapacity,BAU_BAU,2040,0.0026135720202494278
Thies,Power,P_Oil,PeakCapacity,BAU_BAU,2040,0.0011699888456487952
ZS,Power,P_Oil,PeakCapacity,BAU_BAU,2040,0.00017622991660728402
MTKK,Power,P_Oil,PeakCapacity,BAU_BAU,2040,2.473126492966146e-5
Dakar,Power,P_Coal_Hardcoal,PeakCapacity,BAU_BAU,2040,0.0002182034375746503
Thies,Power,P_Coal_Hardcoal,PeakCapacity,BAU_BAU,2040,0.00025105548469414384
MTKK,Power,RES_Hydro_Large,PeakCapacity,BAU_BAU,2040,0.003994098658521735
Dakar,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2040,0.01280862442794816
Diourbel,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2040,0.00047998871731214364
Thies,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2040,0.003792840950443562
LS,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2040,0.006973163983993149
FKK,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2040,0.001188575083799436
Thies,Power,RES_Wind_Onshore_Opt,PeakCapacity,BAU_BAU,2040,0.0045727594489339786
Dakar,Power,P_Gas_OCGT,PeakCapacity,BAU_BAU,2040,0.004131970442858481
Dakar,Power,P_Gas_CCGT,PeakCapacity,BAU_BAU,2045,0.006982382521637488
Thies,Power,P_Gas_CCGT,PeakCapacity,BAU_BAU,2045,0.0010473573782456172
FKK,Power,P_Gas_CCGT,PeakCapacity,BAU_BAU,2045,0.00016762057602042434
